provincia,localidad,empresa,empresabandera,producto,fecha_vigencia,precio,fecha_descarga,precio_usd,dolar_bn
BUENOS AIRES,30 DE AGOSTO,RICARDO Y SAMUEL ITURRALDE S.A.,PUMA,Gas Oil Grado 3,2026-03-02 14:26:00,2093.0,2026-03-03,1.4585,1435.0
BUENOS AIRES,30 DE AGOSTO,RICARDO Y SAMUEL ITURRALDE S.A.,PUMA,Nafta (premium) de más de 95 Ron,2026-03-02 14:26:00,2000.0,2026-03-03,1.3937,1435.0
BUENOS AIRES,30 DE AGOSTO,RICARDO Y SAMUEL ITURRALDE S.A.,PUMA,Nafta (súper) entre 92 y 95 Ron,2026-03-02 14:26:00,1736.0,2026-03-03,1.2098,1435.0
BUENOS AIRES,9 DE ABRIL,BIG-BLUE S.A.,SHELL C.A.P.S.A.,GNC,2024-03-22 12:35:00,399.0,2026-03-03,0.278,1435.0
BUENOS AIRES,9 DE ABRIL,BIG-BLUE S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 2,2025-05-01 13:14:00,1262.0,2026-03-03,0.8794,1435.0
BUENOS AIRES,9 DE ABRIL,BIG-BLUE S.A.,SHELL C.A.P.S.A.,Gas Oil Grado 3,2025-05-01 13:14:00,1483.0,2026-03-03,1.0334,1435.0
BUENOS AIRES,9 DE ABRIL,BIG-BLUE S.A.,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2025-05-01 13:13:00,1522.0,2026-03-03,1.0606,1435.0
BUENOS AIRES,9 DE ABRIL,BIG-BLUE S.A.,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2025-05-01 13:13:00,1273.0,2026-03-03,0.8871,1435.0
BUENOS AIRES,9 DE ABRIL,DIAS DOS SANTOS ALBERTO,SHELL C.A.P.S.A.,Gas Oil Grado 2,2025-10-07 07:06:00,1492.0,2026-03-03,1.0397,1435.0
BUENOS AIRES,9 DE ABRIL,DIAS DOS SANTOS ALBERTO,SHELL C.A.P.S.A.,Gas Oil Grado 3,2025-10-07 07:07:00,1699.0,2026-03-03,1.184,1435.0
BUENOS AIRES,9 DE ABRIL,DIAS DOS SANTOS ALBERTO,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2025-10-07 07:07:00,1796.0,2026-03-03,1.2516,1435.0
BUENOS AIRES,9 DE ABRIL,DIAS DOS SANTOS ALBERTO,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2025-10-07 07:07:00,1506.0,2026-03-03,1.0495,1435.0
BUENOS AIRES,9 DE ABRIL,EL PALMERAL S.R.L.,BLANCA,GNC,2024-09-02 08:32:00,459.0,2026-03-03,0.3199,1435.0
BUENOS AIRES,9 DE ABRIL,EL PALMERAL S.R.L.,BLANCA,Gas Oil Grado 2,2024-09-02 08:32:00,1099.0,2026-03-03,0.7659,1435.0
BUENOS AIRES,9 DE ABRIL,EL PALMERAL S.R.L.,BLANCA,Gas Oil Grado 3,2024-09-02 08:32:00,1349.0,2026-03-03,0.9401,1435.0
BUENOS AIRES,9 DE ABRIL,EL PALMERAL S.R.L.,BLANCA,Nafta (súper) entre 92 y 95 Ron,2024-09-02 08:31:00,1095.0,2026-03-03,0.7631,1435.0
BUENOS AIRES,9 DE ABRIL,GNC OLIMPO S.R.L.,DAPSA S.A.,GNC,2026-01-23 14:34:00,599.0,2026-03-03,0.4174,1435.0
BUENOS AIRES,9 DE ABRIL,GNC OLIMPO S.R.L.,DAPSA S.A.,Gas Oil Grado 2,2026-03-01 17:50:00,1688.0,2026-03-03,1.1763,1435.0
BUENOS AIRES,9 DE ABRIL,GNC OLIMPO S.R.L.,DAPSA S.A.,Gas Oil Grado 3,2026-03-01 17:50:00,1920.0,2026-03-03,1.338,1435.0
BUENOS AIRES,9 DE ABRIL,GNC OLIMPO S.R.L.,DAPSA S.A.,Nafta (premium) de más de 95 Ron,2026-03-01 17:51:00,1921.0,2026-03-03,1.3387,1435.0
